specName,linkText,expectedURL,expectedTitle,condition
master,Find an agent,https://agency.nationwide.com/,Find Independent Insurance Companies Near You - Nationwide,DirectLink5
master,Cheap Boat Insurance,https://uat.nationwide.com/lc/resources/powersports/articles/cheap-boat-insurance,Cheap Boat Insurance - Nationwide,DirectLink
master,How much is sailboat insurance?,https://uat.nationwide.com/lc/resources/powersports/articles/how-much-does-sailboat-insurance-cost,How much is sailboat insurance? – Nationwide,DirectLink
master,Boat caught in severe weather: What to do,https://uat.nationwide.com/lc/resources/powersports/articles/boat-in-storm,Boat Caught in Severe Weather: What to Do – Nationwide,DirectLink
master,How much is boat insurance?,https://uat.nationwide.com/lc/resources/powersports/articles/how-much-is-boat-insurance,How Much Is Boat Insurance? - Nationwide,DirectLink
master,Do I need boat insurance?,https://uat.nationwide.com/lc/resources/powersports/articles/do-i-need-boat-insurance,Do I Need Boat Insurance - Nationwide,DirectLink
master,Watercraft insurance considerations,https://uat.nationwide.com/lc/resources/powersports/articles/boat-insurance-considerations,Boat Insurance Considerations and Options - Nationwide,DirectLink
master,How much is motorcycle insurance?,https://uat.nationwide.com/lc/resources/powersports/articles/how-much-does-motorcycle-insurance-cost,How Much Does Motorcycle Insurance Cost? - Nationwide,DirectLink
master,Do you need motorcycle insurance?,https://uat.nationwide.com/lc/resources/powersports/articles/do-you-need-motorcycle-insurance,Do You Need Motorcycle Insurance? - Nationwide,DirectLink
master,Prepping for motorcycle group rides,https://uat.nationwide.com/lc/resources/powersports/articles/7-safety-tips-for-motorcycle-group-riding,7 Safety Tips for Motorcycle Group Riding - Nationwide,DirectLink
master,Motorcycle maintenance checklist,https://uat.nationwide.com/lc/resources/powersports/articles/motorcycle-maintenance-checklist,Motorcycle Maintenance Checklist - Nationwide,DirectLink
master,How to buy a motorcycle helmet,https://uat.nationwide.com/lc/resources/powersports/articles/used-motorcycle-buying-guide,Guide for Buying a Used Motorcycle - Nationwide,DirectLink
